percentage_identity,average_sensitivity,average_precision
0.1,0.0,0.0
0.2,0.0010310658841357575,0.05169896731293826
0.3,0.07700114463718677,0.18304121160060355
0.4,0.1624100598796371,0.1805925819490197
0.5,0.20346125981317653,0.17932829801521394
0.6,0.2263260280056935,0.17962693401232338
0.7,0.2458788178645796,0.1798987169063632
0.8,0.25897373504731797,0.1793522089684737
0.9,0.26215176780149835,0.17782782019236018
1.0,0.2626186669669406,0.1761083009469786
